case,ax,rate,de,de_lo,cap
S11,Mx,1.2,0.8018051265999908,0.33478519082737185,0.12711935426978369
S11,Mx,0.1,0.6252929420205102,0.26675415886230375,0.10219112611785026
S11,Mx,0.2,0.576342836940862,0.23200060508282197,0.10278114241275954
S11,Mx,0.3,0.7406199965464351,0.3244729546659641,0.10542596139913708
S11,Mx,0.45,0.8886075676964963,0.3498016220193425,0.10968052991209166
S11,Mx,0.65,0.9513076322750399,0.39386153564092524,0.11497573985115098
S11,Mx,0.9,1.015283081116006,0.4266078936817355,0.12087743328330373
S11,Mx,1.2,1.046062812376374,0.4273215588192211,0.12711935426978369
S11,My,0.1,0.6495380149897169,0.2870953280603596,0.1473160597996826
S11,My,0.2,0.8778758128634827,0.3625344242579152,0.14586030922761561
S11,My,0.3,0.923297008131868,0.3971323489641348,0.14881914333478857
S11,My,0.45,0.9319796810014748,0.35605953934643664,0.1542975842135916
S11,My,0.65,0.7485778429517838,0.29876620597758086,0.1614356764537795
S11,My,0.9,0.4004040170853587,0.17090455496463117,0.169543464815402
S11,My,1.2,0.3935518548254673,0.15315657584531106,0.1781968702338042
S11,My,0.1,0.3706250030472922,0.16556249827105673,0.1473160597996826
S11,My,0.2,0.3623473919889272,0.1762430081512107,0.14586030922761561
S11,My,0.3,0.387049858319741,0.1853272377480801,0.14881914333478857
S11,My,0.45,0.46083379077544834,0.14313775350809615,0.1542975842135916
S11,My,0.65,0.7326017275293462,0.34575657031414914,0.1614356764537795
S11,My,0.9,0.679809894537007,0.3480551565764551,0.169543464815402
S13,Mx,0.1,0.22448735569637393,0.08062286338813994,0.11288685986102139
S13,Mx,0.2,0.4452976431368236,0.1971948859196049,0.11262450501986965
S13,Mx,0.3,0.5132736915462651,0.21517092302409785,0.11512787527516995
S13,Mx,0.45,0.5578895684674747,0.2483572224099777,0.1194400762599087
S13,Mx,0.65,0.5985272084587152,0.26345515338479525,0.12493945639400739
S13,Mx,0.9,0.7255113490482437,0.38867943450444664,0.1311365881284727
S13,Mx,1.2,1.364483563072346,0.6903053882743598,0.13772966673551099
S13,Mx,0.1,0.5986541362863645,0.28481846521523124,0.11288685986102139
S13,Mx,0.2,0.6059027164726464,0.28165416508713376,0.11262450501986965
S13,Mx,0.3,0.6571539678901548,0.30326254935798214,0.11512787527516995
S13,Mx,0.45,0.9297732041505342,0.342755729199733,0.1194400762599087
S13,Mx,0.65,0.9633032324561824,0.384808826641537,0.12493945639400739
S13,Mx,0.9,0.6853664933322079,0.27211277371705467,0.1311365881284727
S13,Mx,1.2,0.4377341958187475,0.19385368112414395,0.13772966673551099
S13,My,0.1,0.5956754960313453,0.2565379488296858,0.1361700734088089
S13,My,0.2,0.7014417899521621,0.2876132640284892,0.1347913004367129
S13,My,0.3,0.7251456845874903,0.3259554596271979,0.13744281935460181
S13,My,0.45,0.9428290143390696,0.3945937444318364,0.14238315378800392
S13,My,0.65,0.6906798858262354,0.2861060291774883,0.14883710429163546
S13,My,0.9,0.454435684515349,0.24721927963908122,0.15617988352170944
S13,My,1.2,0.6032107184182334,0.25896919054885453,0.16402628586007004
S13,My,0.1,0.38266187282205233,0.2094349030587248,0.1361700734088089
S13,My,0.2,0.3960456619202659,0.1713875362427175,0.1347913004367129
S13,My,0.3,0.486131783502926,0.21573503539558492,0.13744281935460181
S13,My,0.45,0.4708567807104286,0.19620132563497003,0.14238315378800392
S13,My,0.65,0.4974461512288733,0.22391537993277338,0.14883710429163546
S13,My,0.9,0.5577595787961664,0.22565271226386915,0.15617988352170944
S13,My,1.2,1.1604423563239457,0.5652971009987509,0.16402628586007004
