case,ax,rate,de,res,cap
S13,Mx,0.3,0.1007864750788554,0.1266250526560884,0.43560507620835265
S13,Mx,0.45,0.13342758444883412,0.13510384411382945,0.46824618557833136
S13,Mx,0.65,0.13523741656689905,0.13558904650400183,0.47005601769639627
S13,Mx,0.9,0.07531942880066503,0.15757221116756304,0.41013802993016224
S13,Mx,1.2,0.040356196069509576,0.11546404808302478,0.3751747971990068
S13,My,0.1,0.06528794000131134,0.49273513900733085,0.40010654113080857
S13,My,0.2,0.10376349026087725,0.36410940718499096,0.4385820913903745
S13,My,0.3,0.12247027011533934,0.16809154521209685,0.4572888712448366
S13,My,0.45,0.15357545843049553,0.1357441982675507,0.48839405955999277
S13,My,0.65,0.13777293383778852,0.12359557290476558,0.4725915349672858
S13,My,0.9,0.10916786251620426,0.11997707049961608,0.4439864636457015
S13,My,1.2,0.0867610300147649,0.11719202956776623,0.4215796311442621
S13,My,0.1,0.05892810505461794,0.49219454784177685,0.39374670618411517
S13,My,0.2,0.08370510332976773,0.3148998157728632,0.41852370445926496
S13,My,0.3,0.10893228733514508,0.21902660173019567,0.44375088846464233
S13,My,0.45,0.13848084652361034,0.1252336567448425,0.4732994476531076
S13,My,0.65,0.16407150145589006,0.14416730529552535,0.4988901025853873
S13,My,0.9,0.16761648326179046,0.12716693166218032,0.5024350843912877
S13,My,1.2,0.06999763150860562,0.1482146432746358,0.40481623263810285
