bag,dir,lp_mm,dphi_deg,int_dyn,int_mod,slope_dyn,slope_mod,a_rate_mm_per_deg,case,axis,z_com,j_p
neg_My_065,neg,107.13336526278871,4.4531559233461255,199.3672021729713,113.8544417843095,-10.613868602383258,-0.1627534889205884,0.3474733276500964,case_01,My,0.256,0.288595976
neg_My_090,neg,104.8508205460013,3.950586134539027,211.3798266808149,112.44534380907236,-91.23956880501369,0.6280462205912825,3.054367457411796,case_01,My,0.256,0.288595976
neg_My_120,neg,107.98586151071082,4.838918251762453,366.48589637973436,112.07704881708322,-113.04502552850025,0.5644325854442689,3.777229131513915,case_01,My,0.256,0.288595976
pos_My_01,pos,122.33546539961456,6.515597020232414,440.3327729043866,146.30498393060333,-62.35389591957179,-2.5210123720646194,1.9892930968076152,case_01,My,0.256,0.288595976
pos_My_02,pos,117.63537428631342,6.612189209740538,309.5986519664741,149.2834623646617,-41.421640950441606,-2.16550620279416,1.3051678814516734,case_01,My,0.256,0.288595976
pos_My_03,pos,119.75790338772308,6.620318969796653,370.7301488723522,147.1413069957386,-42.2950319941489,-1.8872113766544725,1.3434585439559863,case_01,My,0.256,0.288595976
neg_Mx_01,neg,136.09871735135664,5.174540486246245,111.07420808374341,203.52372289301883,-48.38925518577028,-3.6180654643019086,1.417339060835007,case_02,Mx,0.256,0.32522292
neg_Mx_02,neg,135.0885078065392,5.526542499078187,106.7880366903122,204.81812060857996,-89.07326581776177,-3.1216881086417745,2.72100270699565,case_02,Mx,0.256,0.32522292
neg_Mx_03,neg,138.29575081621962,5.334197528752761,38.02489230201769,206.05932110244458,-1.379224254935139,-2.8148309674141117,-0.045447563092514694,case_02,Mx,0.256,0.32522292
neg_Mx_045,neg,142.8868795355813,7.283361675608077,176.17800741570736,209.72909680568398,-59.28703753644782,-2.684307514898634,1.7918947588513805,case_02,Mx,0.256,0.32522292
neg_Mx_065,neg,142.4397254095822,7.0535936172275955,162.34027982010278,210.42773857671125,-8.628240455256314,-2.323312497241051,0.19959756991583127,case_02,Mx,0.256,0.32522292
neg_Mx_090,neg,143.36026017007302,8.039805394136344,178.69927891230927,212.66053012357264,-2.0395516078186366,-1.9852847848791373,0.0017179460348959227,case_02,Mx,0.256,0.32522292
neg_Mx_120,neg,142.90875264786177,7.378064404682938,128.06215386547893,211.38143638498678,-1.7039702029628252,-1.240596316866054,0.014669208315028107,case_02,Mx,0.256,0.32522292
pos_Mx_01,pos,140.30222340911413,6.992624541144862,177.88037196039235,165.06080982620048,-27.434100758814136,-3.0354990840530385,0.7723960743176593,case_02,Mx,0.256,0.32522292
pos_Mx_02,pos,138.69590481672796,5.232426339306316,182.90708155241785,165.01445121239004,-38.30645183143379,-2.5160207411266873,1.1330316729128949,case_02,Mx,0.256,0.32522292
pos_Mx_03,pos,139.72350617097945,6.3785668968825195,178.81697098967206,164.8726799298378,-54.44044163763835,-2.2061276143726887,1.653602105319887,case_02,Mx,0.256,0.32522292
pos_Mx_045,pos,140.00201716945992,5.697939053332646,199.00126429601974,161.60219973547387,-16.938114437300733,-1.5710307007325985,0.4864817791633626,case_02,Mx,0.256,0.32522292
pos_Mx_065,pos,140.22581347383715,6.581263577642128,242.61826401328543,163.88111075037472,-37.18970130515537,-1.3106007446289556,1.1358387170059203,case_02,Mx,0.256,0.32522292
